Country,Year,Region,Maternal mortality ratio,Proportion of births attended by skilled health personnel (%),"Infant mortality rate (deaths per 1,000 live births):::BOTHSEX","Infant mortality rate (deaths per 1,000 live births):::MALE","Infant mortality rate (deaths per 1,000 live births):::FEMALE","Under-five mortality rate, by sex (deaths per 1,000 live births):::BOTHSEX","Under-five mortality rate, by sex (deaths per 1,000 live births):::MALE","Under-five mortality rate, by sex (deaths per 1,000 live births):::FEMALE","Neonatal mortality rate (deaths per 1,000 live births)","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability):::BOTHSEX","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability):::MALE","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability):::FEMALE","Fraction of deaths due to diabetes, among deaths due to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Fraction of deaths due to cancer, among deaths due to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Suicide mortality rate, by sex (deaths per 100,000 population):::BOTHSEX","Suicide mortality rate, by sex (deaths per 100,000 population):::MALE","Suicide mortality rate, by sex (deaths per 100,000 population):::FEMALE","Death rate due to road traffic injuries, by sex (per 100,000 population):::BOTHSEX","Death rate due to road traffic injuries, by sex (per 100,000 population):::MALE","Death rate due to road traffic injuries, by sex (per 100,000 population):::FEMALE","Adolescent birth rate (per 1,000 women aged 15-19 years)",Universal health coverage (UHC) service coverage index,"Health worker density, by type of occupation (per 10,000 population)::PHYSICIAN","Health worker density, by type of occupation (per 10,000 population)::NURSEMIDWIFE","Health worker density, by type of occupation (per 10,000 population)::PHARMACIST"
Mauritius,2010,Africa,66,99.5,12.5,13.8,11.1,14.5,15.9,13.0,9.3,24.4,30.2,18.9,0.327,0.153,7.8,12.5,3.1,13.3,22.9,3.9,31.0,55,12.019,28.846,3.205
Mongolia,2010,Asia,66,98.8,25.1,28.7,21.5,30.2,34.1,26.0,11.6,41.6,50.7,32.3,0.017,0.258,23.4,38.7,8.2,18.6,28.0,9.3,18.9,54,27.564,36.31,4.324
New Zealand,2010,Oceania,11,96.8,5.1,5.6,4.6,6.1,6.7,5.5,3.2,11.8,13.7,9.9,0.036,0.398,12.6,18.3,7.2,9.3,13.6,5.2,29.0,82,26.114,105.76,6.293
Norway,2010,Europe,4,99.1,2.6,2.9,2.4,3.3,3.6,2.9,1.9,11.3,13.4,9.1,0.026,0.401,12.4,16.7,8.0,4.4,6.6,2.2,8.4,83,41.167,166.659,6.386
Oman,2010,Asia,18,98.6,10.1,11.1,9.0,11.7,12.8,10.5,5.4,32.7,34.8,29.5,0.097,0.157,6.7,10.2,1.5,27.8,38.8,11.0,12.4,69,19.274,42.3,4.113
Poland,2010,Europe,3,99.9,5.1,5.6,4.7,6.0,6.5,5.4,3.6,20.6,28.4,13.4,0.023,0.328,18.6,33.4,4.8,12.0,19.3,5.2,15.3,72,21.707,58.28,6.575
Republic of Moldova,2010,Europe,29,99.2,14.7,16.3,12.9,17.1,18.9,15.1,12.7,29.9,38.5,22.2,0.011,0.178,20.5,36.5,5.8,13.2,21.6,5.3,26.7,60,23.808,56.482,4.354
Romania,2010,Europe,27,99.5,10.5,11.7,9.3,12.4,13.7,11.0,5.4,23.1,31.3,15.4,0.011,0.221,13.2,22.6,4.5,12.0,18.7,5.6,40.0,69,24.804,57.113,6.611
Seychelles,2010,Africa,55,99.0,12.1,13.1,11.1,14.1,15.2,12.9,8.7,21.2,26.7,15.2,0.085,0.333,7.8,13.6,1.6,14.2,21.8,6.2,56.9,57,10.953,45.126,0.438
Sierra Leone,2010,Africa,1360,60.8,107.2,113.2,100.7,160.5,167.3,153.4,39.4,25.8,25.0,26.5,0.094,0.183,6.8,8.7,4.8,30.0,38.3,21.7,122.0,25,0.212,1.437,0.051
Singapore,2010,Asia,10,99.7,2.2,2.4,2.0,2.8,3.0,2.6,1.1,11.0,14.2,7.7,0.017,0.439,9.9,12.8,6.7,5.1,7.4,2.5,4.8,80,17.187,57.18,3.535
Slovakia,2010,Europe,6,99.2,5.8,6.4,5.1,7.0,7.7,6.3,3.4,20.5,28.6,13.2,0.015,0.287,13.6,23.9,3.9,9.0,13.6,4.6,23.0,70,33.51,64.058,6.045
Slovenia,2010,Europe,8,99.9,2.6,2.8,2.4,3.2,3.5,3.0,1.8,13.5,18.0,8.9,0.018,0.419,20.7,34.0,7.6,7.2,11.3,3.2,4.9,77,24.367,143.425,5.393
Tonga,2010,Oceania,57,99.0,14.5,12.4,16.4,16.8,15.0,18.6,7.3,26.3,32.0,20.7,0.211,0.285,4.6,6.1,3.0,5.8,8.8,2.8,24.0,54,5.577,38.462,0.385
Ukraine,2010,Europe,25,99.9,10.1,11.2,8.9,11.7,12.9,10.5,7.0,29.7,41.4,19.9,0.005,0.19,24.5,44.0,7.7,15.4,25.4,6.9,28.8,60,34.83,74.719,0.397
Uzbekistan,2010,Asia,31,100.0,29.2,33.2,25.0,33.3,37.7,28.7,18.4,28.9,34.4,23.6,0.048,0.112,8.1,11.7,4.5,11.3,17.9,4.7,29.5,65,25.432,113.794,0.377
